Problem,run,Algo,Optimal
berlin52,1,SA,24853.0
burma14,1,SA,4479.0
berlin52,1,QLSA softmax,23237.0
burma14,1,QLSA softmax,5199.0
berlin52,2,SA,26869.0
berlin52,2,QLSA softmax,22083.0
burma14,2,SA,5908.0
berlin52,1,QLSA epsilon_greedy,18124.0
burma14,2,QLSA softmax,4408.0
burma14,1,QLSA epsilon_greedy,4437.0
berlin52,2,QLSA epsilon_greedy,26472.0
burma14,2,QLSA epsilon_greedy,5977.0
berlin52,3,SA,20040.0
berlin52,3,QLSA softmax,21141.0
berlin52,3,QLSA epsilon_greedy,24076.0
burma14,3,SA,4912.0
burma14,3,QLSA softmax,5177.0
burma14,3,QLSA epsilon_greedy,4965.0
